Date,Daimler DAX30,Deutsche Borse DAX30,Deutsche Bank DAX30,Deutsche Post DAX30,Deutsche Telekom DAX30,EON DAX30,Fresenius DAX30,Heidelberg Cement DAX30,Henkel DAX30,Infineon DAX30,Lufthansa DAX30,Linde DAX30,Lanxess DAX30,Merck DAX30,Munchener Ruck DAX30,RWE DAX30,SAP DAX30,KS DAX30,Siemens DAX30,Thyssen Krupp DAX30,Volkswagen Group DAX30,Adidas DAX30,Beiersdorf DAX30,Continental DAX30,Commerzbank DAX30,Allianz DAX30,BASF DAX30,Bayer DAX30,BMW DAX30,Coca Cola NASDAQ,McDonalds NASDAQ,3m NASDAQ,Nike NASDAQ,Pfizer NASDAQ,The Travelers Companies NASDAQ,United Technologies Corporation NASDAQ,Visa NASDAQ,Verizon Communications NASDAQ,WalMart NASDAQ,Chevron NASDAQ,Home Depot NASDAQ,IBM NASDAQ,Intel NASDAQ,Microsoft NASDAQ,Procter Gamble NASDAQ,Cisco NASDAQ,American Express NASDAQ,Boeing NASDAQ,Caterpillar NASDAQ,Walt Disney NASDAQ,General Electric NASDAQ,Goldman Sachs NASDAQ,JP Morgan Chase NASDAQ
2015-02-22,84.780000000000001,70.900000000000006,29.164999999999999,29.635000000000002,15.914999999999999,13.335000000000001,47.68,70.620000000000005,100.05,10.234999999999999,13.295,178.0,45.350000000000001,87.700000000000003,178.5,23.335000000000001,60.93,28.515000000000001,97.480000000000004,23.184999999999999,225.0,69.150000000000006,74.260000000000005,215.0,12.031000000000001,145.69999999999999,83.299999999999997,123.5,110.8,41.969999999999999,94.189999999999998,168.12,47.460000000000001,34.560000000000002,107.81999999999999,124.11,68.25,48.969999999999999,84.299999999999997,108.599998,112.239998,163.64999399999999,34.409999999999997,43.860000999999997,84.870002999999997,29.609999999999999,79.829999999999998,158.31,84.439999999999998,104.55,25.210000000000001,191.50999999999999,59.799999999999997
2015-03-01,86.510000000000005,72.900000000000006,29.375,30.43,16.670000000000002,14.445,51.18,71.129999999999995,105.84999999999999,10.345000000000001,13.1,181.80000000000001,46.034999999999997,92.200000000000003,185.5,24.984999999999999,62.840000000000003,28.824999999999999,99.819999999999993,23.789999999999999,225.5,69.260000000000005,77.299999999999997,213.0,12.050000000000001,149.5,85.450000000000003,131.30000000000001,112.59999999999999,43.299999999999997,98.900000000000006,168.65000000000001,48.560000000000002,34.32,107.44,121.91,67.829999999999998,49.450000000000003,83.930000000000007,106.68000000000001,114.75,161.94000199999999,33.25,43.849997999999999,85.129997000000003,29.510000000000002,81.590000000000003,150.84999999999999,82.900000000000006,104.08,25.989999999999998,189.78999999999999,61.280000000000001
2015-03-08,89.920000000000002,72.010000000000005,29.484999999999999,30.370000000000001,16.760000000000002,14.0,51.799999999999997,71.829999999999998,104.90000000000001,10.744999999999999,13.085000000000001,186.40000000000001,47.649999999999999,98.359999999999999,187.05000000000001,24.300000000000001,63.469999999999999,28.734999999999999,99.469999999999999,24.649999999999999,229.84999999999999,71.659999999999997,79.120000000000005,214.15000000000001,11.781000000000001,151.5,88.049999999999997,133.90000000000001,115.5,41.520000000000003,97.129999999999995,164.36000000000001,48.460000000000001,33.969999999999999,105.8,119.43000000000001,67.340000000000003,48.289999999999999,82.590000000000003,103.550003,114.449997,158.5,33.189999,42.360000999999997,82.660004000000001,28.920000000000002,80.310000000000002,153.12,80.060000000000002,103.81999999999999,25.420000000000002,186.91,60.890000000000001
2015-03-15,93.099999999999994,73.609999999999999,30.125,29.100000000000001,17.149999999999999,13.535,54.600000000000001,71.439999999999998,108.65000000000001,11.185,13.039999999999999,188.69999999999999,50.030000000000001,102.59999999999999,194.40000000000001,23.555,64.700000000000003,31.515000000000001,103.40000000000001,24.920000000000002,247.75,71.150000000000006,80.799999999999997,225.59999999999999,12.521000000000001,155.40000000000001,89.599999999999994,141.0,119.7,39.909999999999997,96.349999999999994,162.74000000000001,47.899999999999999,34.0,106.72,118.73999999999999,66.260000000000005,48.840000000000003,81.900000000000006,101.620003,114.81999999999999,154.279999,30.93,41.380001,81.830001999999993,27.940000000000001,80.599999999999994,151.56999999999999,79.230000000000004,106.44,25.039999999999999,189.34,61.0
2015-03-22,91.510000000000005,75.5,31.649999999999999,29.524999999999999,16.984999999999999,14.25,55.509999999999998,73.469999999999999,110.3,11.175000000000001,13.970000000000001,193.25,48.774999999999999,104.95,203.09999999999999,24.594999999999999,67.099999999999994,31.129999999999999,100.65000000000001,24.5,250.05000000000001,70.450000000000003,82.799999999999997,226.0,12.598000000000001,159.80000000000001,92.400000000000006,144.80000000000001,117.2,40.649999999999999,97.049999999999997,166.49000000000001,50.990000000000002,34.25,109.73,119.45999999999999,67.409999999999997,49.560000000000002,83.239999999999995,107.029999,117.489998,162.88000500000001,31.309999000000001,42.880001,84.739998,28.440000000000001,82.700000000000003,154.5,81.189999999999998,108.43000000000001,25.399999999999999,193.13,61.75
2015-03-29,88.469999999999999,75.090000000000003,31.629999999999999,29.204999999999998,17.024999999999999,14.029999999999999,55.43,72.359999999999999,109.2,10.83,13.050000000000001,188.15000000000001,49.509999999999998,103.40000000000001,199.5,24.07,66.349999999999994,30.344999999999999,100.09999999999999,24.289999999999999,244.59999999999999,73.049999999999997,81.400000000000006,216.0,12.81,159.69999999999999,92.0,139.90000000000001,115.90000000000001,40.079999999999998,96.959999999999994,163.5,49.939999999999998,34.530000000000001,107.13,116.90000000000001,65.540000000000006,48.560000000000002,81.349999999999994,104.279999,113.860001,160.39999399999999,32.0,40.970001000000003,82.309997999999993,27.129999999999999,77.969999999999999,148.84999999999999,79.670000000000002,105.48,24.859999999999999,188.06,59.549999999999997
2015-04-05,87.700000000000003,76.760000000000005,32.770000000000003,29.105,17.030000000000001,13.744999999999999,55.0,73.810000000000002,109.8,11.195,12.715,190.5,49.909999999999997,105.65000000000001,200.90000000000001,24.030000000000001,67.069999999999993,30.960000000000001,100.84999999999999,24.760000000000002,243.80000000000001,74.079999999999998,81.170000000000002,217.90000000000001,13.051,162.5,92.950000000000003,139.40000000000001,115.2,40.68,95.829999999999998,162.80000000000001,49.829999999999998,34.380000000000003,107.73999999999999,117.13,65.290000000000006,49.469999999999999,80.730000000000004,105.279999,114.540001,160.449997,30.809999000000001,40.290000999999997,82.430000000000007,27.129999999999999,79.700000000000003,149.28,80.239999999999995,106.0,24.940000000000001,191.55000000000001,60.520000000000003
2015-04-12,88.650000000000006,80.129999999999995,33.090000000000003,31.079999999999998,17.489999999999998,14.324999999999999,57.469999999999999,75.840000000000003,115.2,11.805,12.955,193.75,51.960000000000001,111.25,205.30000000000001,25.010000000000002,69.049999999999997,32.57,103.45,25.289999999999999,253.19999999999999,77.0,83.200000000000003,228.80000000000001,13.173,169.19999999999999,97.0,145.59999999999999,117.09999999999999,40.880000000000003,97.799999999999997,167.06999999999999,49.979999999999997,35.439999999999998,107.65000000000001,118.45999999999999,66.340000000000003,49.219999999999999,80.650000000000006,106.910004,115.239998,162.86000100000001,31.93,41.720001000000003,83.349997999999999,28.039999999999999,79.590000000000003,154.38,82.599999999999994,106.95,28.510000000000002,195.63999999999999,61.700000000000003
2015-04-19,84.810000000000002,75.909999999999997,30.699999999999999,29.5,16.324999999999999,14.455,54.039999999999999,72.530000000000001,108.09999999999999,11.234999999999999,12.199999999999999,183.34999999999999,48.869999999999997,104.90000000000001,195.69999999999999,24.239999999999998,66.609999999999999,30.754999999999999,98.950000000000003,24.32,235.0,72.920000000000002,80.799999999999997,219.80000000000001,12.25,161.0,89.25,133.59999999999999,110.3,40.299999999999997,94.879999999999995,161.71000000000001,49.280000000000001,35.039999999999999,105.40000000000001,115.11,64.519999999999996,48.899999999999999,77.879999999999995,109.110001,112.099998,160.66999799999999,32.470001000000003,41.619999,82.529999000000004,27.920000000000002,77.319999999999993,149.59999999999999,83.280000000000001,106.69,27.25,197.34999999999999,62.840000000000003
2015-04-26,87.159999999999997,74.739999999999995,31.574999999999999,30.120000000000001,17.004999999999999,14.595000000000001,53.960000000000001,72.170000000000002,108.3,11.42,12.279999999999999,180.44999999999999,49.805,105.15000000000001,181.84999999999999,22.690000000000001,69.120000000000005,31.395,99.329999999999998,24.32,233.05000000000001,74.450000000000003,79.579999999999998,224.74000000000001,12.765000000000001,155.19999999999999,91.299999999999997,134.90000000000001,110.0,40.890000000000001,98.739999999999995,158.99000000000001,50.479999999999997,35.270000000000003,103.95,116.16,67.480000000000004,50.030000000000001,79.840000000000003,109.870003,113.699997,169.779999,32.080002,47.869999,81.0,28.82,77.989999999999995,148.40000000000001,84.599999999999994,109.53,26.800000000000001,197.99000000000001,62.600000000000001
